iter	Passed	Remaining
409	4197	6040
410	4202	6022
411	4205	6002
412	4220	5998
413	4227	5984
414	4240	5977
415	4244	5958
416	4255	5950
417	4276	5954
418	4288	5947
419	4298	5935
420	4302	5917
421	4306	5898
422	4315	5886
423	4321	5871
424	4336	5866
425	4340	5848
426	4343	5828
427	4348	5811
428	4354	5796
429	4359	5778
430	4375	5776
431	4380	5758
432	4399	5760
433	4403	5742
434	4412	5731
435	4416	5713
436	4420	5695
437	4433	5688
438	4441	5676
439	4446	5659
440	4449	5640
441	4453	5622
442	4457	5604
443	4464	5590
444	4468	5573
445	4481	5567
446	4487	5552
447	4491	5533
448	4494	5515
449	4499	5498
450	4502	5480
451	4506	5463
452	4509	5445
453	4512	5427
454	4517	5410
455	4530	5404
456	4541	5395
457	4550	5385
458	4563	5379
459	4571	5366
460	4584	5359
461	4599	5355
462	4615	5353
463	4624	5342
464	4631	5328
465	4635	5311
466	4649	5307
467	4664	5302
468	4682	5301
469	4696	5295
470	4705	5284
471	4714	5274
472	4733	5273
473	4748	5269
474	4766	5268
475	4776	5257
476	4782	5243
477	4787	5227
478	4798	5219
479	4804	5204
480	4813	5193
481	4817	5176
482	4822	5162
483	4827	5146
484	4831	5130
485	4835	5114
486	4842	5101
487	4855	5094
488	4858	5077
489	4862	5061
490	4870	5049
491	4889	5048
492	4894	5033
493	4909	5028
494	4915	5014
495	4931	5011
496	4949	5009
497	4970	5010
498	4990	5010
499	4995	4995
500	4999	4979
501	5007	4967
502	5014	4955
503	5018	4938
504	5052	4952
505	5056	4936
506	5072	4932
507	5096	4935
508	5106	4926
509	5122	4921
510	5138	4917
511	5144	4903
512	5164	4903
513	5187	4905
514	5194	4892
515	5202	4879
516	5207	4864
517	5216	4854
518	5223	4840
519	5233	4831
520	5237	4815
521	5247	4805
522	5252	4790
523	5263	4780
524	5268	4766
525	5275	4753
526	5284	4743
527	5288	4727
528	5295	4714
529	5300	4700
530	5304	4685
531	5318	4678
532	5323	4663
533	5327	4649
534	5331	4634
535	5336	4619
536	5346	4609
537	5352	4596
538	5357	4582
539	5371	4576
540	5387	4570
541	5420	4580
542	5425	4565
543	5438	4559
544	5442	4543
545	5457	4538
546	5471	4530
547	5481	4521
548	5488	4508
549	5502	4501
550	5506	4487
551	5515	4476
552	5524	4465
553	5532	4454
554	5536	4438
555	5540	4424
556	5545	4410
557	5555	4400
558	5569	4393
559	5576	4381
560	5586	4371
561	5591	4357
562	5598	4345
563	5610	4337
564	5615	4323
565	5622	4311
566	5625	4296
567	5628	4281
568	5633	4267
569	5645	4258
570	5648	4243
571	5653	4230
572	5657	4216
573	5662	4202
574	5665	4187
575	5689	4188
576	5694	4174
577	5697	4160
578	5705	4148
579	5709	4134
580	5713	4120
